Plate,Light,Caging,Frame,Top/Bottom,Left/Middle/Right,Accumulated_microalgae,Amathia_1,Amathia_2,Amphibalanus_variegatus,Arachnopusia_unicornis,Ascidian_1,Ascidian_2,Ascidiella_aspersa,Austrobalanus_imperator,Bare_space,Beania_magellanica,Botrylloides_leachii,Bugula_dentata,Bugula_flabellata,Bugula_neritina,Branching_brown_algae_1,Branching_green_algae_mix,Branching_red_algae_1,Branching_red_algae_3,Bryozoan_1,Bryozoan_2,Bryozoan_4,Bryozoan_5,Celleporaria_1,Centroceras_clavulatum,Ceramium_1,Cladophora_prolifera,Codium_fragile,Colpomenia_sinuosa,Conopeum_seurati,Crassostrea_gigas,Crisia_tenuous,Didemnum_1,Diplosoma_listerianum,Disporella_novaehollandidae,Encrusting_green_algae_1,Encrusting_coralline_algae_1,Fenestrulina_mutabilis,Filamentous_brown_algae,Filamentous_green_algae_2,Filamentous_green_algae_3,Filamentous_green_algae_4,Filamentous_green_algae_5,Filamentous_green_algae_6,Filamentous_red_algae_2,Filamentous_red_algae_3,Filamentous_red_algae_4,Filamentous_red_algae_5,Filamentous_red_algae_6,Foliose_brown_algae_1,Foliose_green_algae_1,Foliose_red_algae_1,Foliose_red_algae_2,Herdmania_momus,Hydroides_tube,Hydroid_1,Hydroid_2,Hydroid_3,Invertebrate_connective_tubing,Juvenile_barnacle_1,Microporella_1,Mucropetraliella_ellerii,Polysiphonia_1,Scruparia_ambigua,Serpulid_1,Solitary_ascidian_3,Spermothamnion_1,Spirobranchus_1,Spirorbid_1,Spirorbid_2,Spirorbid_3,Sycon_1,Tricellaria_inopinata,Ulva_australis,Ulva_intestinalis,Watersipora_subatra,Yellow_sponge_1
1_26_CC,Full shade,Control,1,Bottom,Right,0,0,0.5,5,6,0,0,0,0,65,0.5,0,0,0,0.5,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,1,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0.5
1_31_FC,Full shade,Caged,1,Top,Left,0,0,0.5,10,0.5,0,1,1,0,15,0,0,0,0.5,6,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
1_44_FC,Full shade,Caged,1,Bottom,Middle,0,0,0.5,4,5,0,1,0,0.5,28,0,1,0.5,0,11,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0
1_8_OP,Full shade,Uncaged,1,Bottom,Left,0,0,0.5,10,3,0,0,0,0,65,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,2,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0
1_87_CC,Full shade,Control,1,Top,Right,0,0,0.5,12,1,0,0,0,0.5,59,0.5,0.5,0,0,0.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.5,6,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0
1_95_OP,Full shade,Uncaged,1,Top,Middle,0,0,0.5,18,5,0,0,0,0.5,53,0,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0
2_19_FC,Moderate light,Caged,2,Top,Right,2,0,0,0.5,0.5,0,0,0,0,26,0,0.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0.5,0,0,11,0,0,0,0,0.5,0,0.5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0
2_22_OP,Moderate light,Uncaged,2,Top,Left,0.5,0,0,0.5,0,0,0,0,0,50,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,31,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0
2_41_FC,Moderate light,Caged,2,Bottom,Right,1,0,0,0.5,0,0,0,0,0,21,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,10,0,0,0,0,0,0,0.5,0,0,49,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
2_70_OP,Moderate light,Uncaged,2,Bottom,Middle,2,0,0,0.5,0,0,0,0,0,52,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0
