"Date Time, GMT +1000",Temperature_Celsius,Intensity_Lux,Frame,Treatment,Position,AffectedByMaintenance
12/08/2021 18:00,16.56,36,1,Full shade,Center,N
12/08/2021 18:15,16.51,35,1,Full shade,Center,N
12/08/2021 18:30,16.56,31,1,Full shade,Center,N
12/08/2021 18:45,16.56,33,1,Full shade,Center,N
12/08/2021 19:00,16.56,2,1,Full shade,Center,N
12/08/2021 19:15,16.6,0,1,Full shade,Center,N
12/08/2021 19:30,16.51,0,1,Full shade,Center,N
12/08/2021 19:45,16.51,0,1,Full shade,Center,N
12/08/2021 20:00,16.56,0,1,Full shade,Center,N
12/08/2021 20:15,16.56,0,1,Full shade,Center,N
12/08/2021 20:30,16.56,0,1,Full shade,Center,N
12/08/2021 20:45,16.51,0,1,Full shade,Center,N
12/08/2021 21:00,16.51,0,1,Full shade,Center,N
12/08/2021 21:15,16.47,0,1,Full shade,Center,N
12/08/2021 21:30,16.47,0,1,Full shade,Center,N
12/08/2021 21:45,16.51,0,1,Full shade,Center,N
12/08/2021 22:00,16.47,0,1,Full shade,Center,N
12/08/2021 22:15,16.56,0,1,Full shade,Center,N
12/08/2021 22:30,16.56,0,1,Full shade,Center,N
12/08/2021 22:45,16.43,0,1,Full shade,Center,N
12/08/2021 23:00,16.51,0,1,Full shade,Center,N
12/08/2021 23:15,16.51,0,1,Full shade,Center,N
12/08/2021 23:30,16.56,0,1,Full shade,Center,N
12/08/2021 23:45,16.51,0,1,Full shade,Center,N
13/08/2021 0:00,16.47,0,1,Full shade,Center,N
13/08/2021 0:15,16.39,0,1,Full shade,Center,N
13/08/2021 0:30,16.34,0,1,Full shade,Center,N
13/08/2021 0:45,16.3,0,1,Full shade,Center,N
13/08/2021 1:00,16.3,0,1,Full shade,Center,N
13/08/2021 1:15,16.34,0,1,Full shade,Center,N
13/08/2021 1:30,16.39,0,1,Full shade,Center,N
13/08/2021 1:45,16.3,0,1,Full shade,Center,N
13/08/2021 2:00,16.26,0,1,Full shade,Center,N
13/08/2021 2:15,16.3,0,1,Full shade,Center,N
13/08/2021 2:30,16.3,0,1,Full shade,Center,N
13/08/2021 2:45,16.34,0,1,Full shade,Center,N
13/08/2021 3:00,16.39,0,1,Full shade,Center,N
13/08/2021 3:15,16.39,0,1,Full shade,Center,N
13/08/2021 3:30,16.34,0,1,Full shade,Center,N
13/08/2021 3:45,16.34,0,1,Full shade,Center,N
13/08/2021 4:00,16.39,0,1,Full shade,Center,N
13/08/2021 4:15,16.34,0,1,Full shade,Center,N
13/08/2021 4:30,16.34,0,1,Full shade,Center,N
13/08/2021 4:45,16.34,0,1,Full shade,Center,N
13/08/2021 5:00,16.34,0,1,Full shade,Center,N
13/08/2021 5:15,16.43,0,1,Full shade,Center,N
13/08/2021 5:30,16.39,0,1,Full shade,Center,N
13/08/2021 5:45,16.34,0,1,Full shade,Center,N
13/08/2021 6:00,16.3,0,1,Full shade,Center,N
13/08/2021 6:15,16.3,0,1,Full shade,Center,N
13/08/2021 6:30,16.26,1,1,Full shade,Center,N
13/08/2021 6:45,16.26,8,1,Full shade,Center,N
13/08/2021 7:00,16.3,17,1,Full shade,Center,N
13/08/2021 7:15,16.08,64,1,Full shade,Center,N
13/08/2021 7:30,16.26,68,1,Full shade,Center,N
13/08/2021 7:45,16.3,97,1,Full shade,Center,N
13/08/2021 8:00,16.3,226,1,Full shade,Center,N
13/08/2021 8:15,16.26,236,1,Full shade,Center,N
13/08/2021 8:30,16.26,173,1,Full shade,Center,N
13/08/2021 8:45,16.13,154,1,Full shade,Center,N
13/08/2021 9:00,16.3,151,1,Full shade,Center,N
13/08/2021 9:15,16.39,151,1,Full shade,Center,N
13/08/2021 9:30,16.34,153,1,Full shade,Center,N
13/08/2021 9:45,16.39,154,1,Full shade,Center,N
13/08/2021 10:00,16.34,155,1,Full shade,Center,N
13/08/2021 10:15,16.3,157,1,Full shade,Center,N
13/08/2021 10:30,16.3,167,1,Full shade,Center,N
13/08/2021 10:45,16.3,176,1,Full shade,Center,N
13/08/2021 11:00,16.39,176,1,Full shade,Center,N
13/08/2021 11:15,16.39,182,1,Full shade,Center,N
13/08/2021 11:30,16.43,187,1,Full shade,Center,N
13/08/2021 11:45,16.47,204,1,Full shade,Center,N
13/08/2021 12:00,16.47,218,1,Full shade,Center,N
13/08/2021 12:15,16.51,223,1,Full shade,Center,N
13/08/2021 12:30,16.6,232,1,Full shade,Center,N
