Date.Time..GMT..1000,Temperature_Celsius,Intensity_Lux,Pylon_side,Treatment
06/21/2023 12:00:00,32.82,622.88,1,Natural light
06/21/2023 12:15:00,35.78,2048,1,Natural light
06/21/2023 12:30:00,36.72,1741.44,1,Natural light
06/21/2023 12:45:00,35.09,1001.92,1,Natural light
06/21/2023 13:00:00,31.1,3413.76,1,Natural light
06/21/2023 13:15:00,24.88,5429.76,1,Natural light
06/21/2023 13:30:00,25.14,8862.72,1,Natural light
06/21/2023 13:45:00,25.18,8693.76,1,Natural light
06/21/2023 14:00:00,25.27,9267.2,1,Natural light
06/21/2023 14:15:00,25.39,9026.56,1,Natural light
06/21/2023 14:30:00,25.31,7147.52,1,Natural light
06/21/2023 14:45:00,25.05,3383.04,1,Natural light
06/21/2023 15:00:00,24.97,2119.68,1,Natural light
06/21/2023 15:15:00,25.01,1672.96,1,Natural light
06/21/2023 15:30:00,25.01,1530.88,1,Natural light
06/21/2023 15:45:00,24.92,1342.72,1,Natural light
06/21/2023 16:00:00,24.92,1146.24,1,Natural light
06/21/2023 16:15:00,24.97,1054.72,1,Natural light
06/21/2023 16:30:00,24.92,952,1,Natural light
06/21/2023 16:45:00,24.92,844.8,1,Natural light
06/21/2023 17:00:00,24.88,649.28,1,Natural light
06/21/2023 17:15:00,24.88,397.76,1,Natural light
06/21/2023 17:30:00,24.84,191.6,1,Natural light
06/21/2023 17:45:00,24.88,47.44,1,Natural light
06/21/2023 18:00:00,24.84,2.44,1,Natural light
06/21/2023 18:15:00,24.79,0,1,Natural light
06/21/2023 18:30:00,24.75,0,1,Natural light
06/21/2023 18:45:00,24.75,0,1,Natural light
06/21/2023 19:00:00,24.71,0,1,Natural light
06/21/2023 19:15:00,24.71,0,1,Natural light
06/21/2023 19:30:00,24.71,0,1,Natural light
06/21/2023 19:45:00,24.71,0,1,Natural light
06/21/2023 20:00:00,24.66,0,1,Natural light
06/21/2023 20:15:00,24.58,0,1,Natural light
06/21/2023 20:30:00,24.62,0,1,Natural light
06/21/2023 20:45:00,24.66,0,1,Natural light
06/21/2023 21:00:00,24.62,0,1,Natural light
06/21/2023 21:15:00,24.62,0,1,Natural light
06/21/2023 21:30:00,24.54,0,1,Natural light
06/21/2023 21:45:00,24.62,0,1,Natural light
06/21/2023 22:00:00,24.58,0,1,Natural light
06/21/2023 22:15:00,24.54,0,1,Natural light
06/21/2023 22:30:00,24.41,0,1,Natural light
06/21/2023 22:45:00,24.41,0,1,Natural light
06/21/2023 23:00:00,24.45,0,1,Natural light
06/21/2023 23:15:00,24.41,0,1,Natural light
06/21/2023 23:30:00,24.41,0,1,Natural light
06/21/2023 23:45:00,24.32,0,1,Natural light
